year,month,day,hour,solar_radiation,wind_speed,demand,temperature,price
2014,1,1,1,0,3.4,2650,18.1,12240
2014,1,1,2,0,3.8,2527,17.8,12240
2014,1,1,3,0,3.6,2427,17.6,12240
2014,1,1,4,0,3.1,2352,17.2,12240
2014,1,1,5,0,3.6,2311,17,12240
2014,1,1,6,0,3.1,2313,16.9,12240
2014,1,1,7,0,3.2,2398,16.8,12240
2014,1,1,8,0.04,2.9,2530,16.4,12240
2014,1,1,9,0.51,3.5,2669,18.3,12240
2014,1,1,10,1.16,4.2,2658,19.3,12240
2014,1,1,11,1.76,5.2,2660,19.9,12240
2014,1,1,12,2.18,3.8,2707,20.2,12240
2014,1,1,13,2.36,4.4,2761,20,12240
2014,1,1,14,2.29,4.1,2750,20.2,12240
2014,1,1,15,1.72,4.1,2728,19.8,12240
2014,1,1,16,1.27,4.4,2774,19.5,12240
2014,1,1,17,0.69,4.6,2989,19.2,12240
2014,1,1,18,0.2,4.6,3256,18.6,12240
2014,1,1,19,0,4.2,3323,18.3,12240
2014,1,1,20,0,3.6,3324,17.9,12240
2014,1,1,21,0,2.7,3320,17.7,12240
2014,1,1,22,0,2.8,3279,17.5,12240
2014,1,1,23,0,2.2,3156,17.1,12240
2014,1,1,24,0,2.4,3030,16.9,12240
2014,1,2,1,0,1.5,2809,16.3,12240
2014,1,2,2,0,2.5,2649,16.9,12240
2014,1,2,3,0,2.4,2545,17.1,12240
2014,1,2,4,0,2.2,2470,16.7,12240
2014,1,2,5,0,1.4,2435,16.1,12240
2014,1,2,6,0,2,2476,16.3,12240
2014,1,2,7,0,2,2653,15.6,12240
2014,1,2,8,0.06,2.9,2863,16.4,12240
2014,1,2,9,0.54,3.4,3082,19,12240
2014,1,2,10,0.8,4.9,3217,19.9,12240
2014,1,2,11,1.21,4.2,3163,20,12240
2014,1,2,12,1.25,4.5,3038,21,12240
2014,1,2,13,2,5.7,2882,21.6,12240
2014,1,2,14,1.65,5.3,2666,21.6,12240
2014,1,2,15,1.95,6.6,2609,21.2,12240
2014,1,2,16,0.79,5.8,2678,21,12240
2014,1,2,17,0.6,5.9,2951,20.8,12240
2014,1,2,18,0.21,3.9,3289,20,12240
2014,1,2,19,0,2.9,3373,20.2,12240
2014,1,2,20,0,3.3,3397,19.8,12240
2014,1,2,21,0,3.5,3386,19.7,12240
2014,1,2,22,0,2.7,3330,19.6,12240
2014,1,2,23,0,3.3,3218,19.7,12240
2014,1,2,24,0,2.8,3096,19.6,12240
2014,1,3,1,0,1.8,2872,19.8,12240
2014,1,3,2,0,2,2696,20.1,12240
2014,1,3,3,0,2.6,2583,20.4,12240
2014,1,3,4,0,3.3,2501,20.8,12240
2014,1,3,5,0,3.6,2458,20.9,12240
2014,1,3,6,0,2.9,2497,21.2,12240
2014,1,3,7,0,3.4,2641,21.2,12240
2014,1,3,8,0.03,4.5,2858,21.6,12240
2014,1,3,9,0.4,5.4,3057,23.1,12240
2014,1,3,10,1.18,5.2,3069,23.9,12240
2014,1,3,11,1.04,7.2,2962,24.1,12240
2014,1,3,12,1.19,6,2842,24.2,12240
2014,1,3,13,1.06,5.6,2765,21.4,12240
2014,1,3,14,1.21,6,2684,22.4,12240
2014,1,3,15,0.55,6.2,2652,21.8,12240
2014,1,3,16,0.27,5.9,2700,20,12240
2014,1,3,17,0.15,2.4,2973,20,12240
2014,1,3,18,0.03,3.4,3339,19.5,12240
2014,1,3,19,0,3.1,3433,19.4,12240
2014,1,3,20,0,4.7,3445,18.6,12240
2014,1,3,21,0,5.9,3433,18.5,12240
2014,1,3,22,0,1.2,3365,19,12240
2014,1,3,23,0,4.3,3223,20.2,12240
2014,1,3,24,0,5.7,3081,19.7,12240
2014,1,4,1,0,2.9,2872,18.6,12240
2014,1,4,2,0,3,2713,19.2,12240
2014,1,4,3,0,2.8,2602,18.8,12240
2014,1,4,4,0,5.1,2520,19.1,12240
2014,1,4,5,0,4.6,2478,18.4,12240
2014,1,4,6,0,5.8,2528,18.3,12240
2014,1,4,7,0,3.8,2696,19.4,12240
2014,1,4,8,0.02,4.5,2929,19.3,12240
2014,1,4,9,0.17,3.5,3250,19.5,12240
2014,1,4,10,0.49,5.2,3392,19.9,12240
2014,1,4,11,0.96,4.4,3279,20.1,12240
2014,1,4,12,1.32,5.4,3098,20.4,12240
2014,1,4,13,1.28,5.8,2967,20.4,12240
2014,1,4,14,0.92,5.3,2882,19.9,12240
2014,1,4,15,0.92,5.9,2823,19.8,12240
2014,1,4,16,0.73,5.9,2860,19.4,12240
2014,1,4,17,0.37,5.1,3151,19.2,12240
2014,1,4,18,0.09,4.7,3553,18.9,12240
2014,1,4,19,0,4.4,3667,18.8,12240
2014,1,4,20,0,5.2,3685,18.8,12240
2014,1,4,21,0,5.2,3650,18.7,12240
2014,1,4,22,0,5.4,3531,18.6,12240
2014,1,4,23,0,5.5,3336,18.4,12240
2014,1,4,24,0,4.7,3141,18.2,12240
2014,1,5,1,0,4.7,2888,18,12240
2014,1,5,2,0,4.4,2722,17.8,12240
2014,1,5,3,0,4.1,2630,17.7,12240
2014,1,5,4,0,5.3,2574,17.8,12240
2014,1,5,5,0,5.4,2589,17.5,12240
2014,1,5,6,0,3.9,2787,17.3,12240
2014,1,5,7,0,5.9,3228,17.7,12240
2014,1,5,8,0.04,4.7,3569,17.4,12240
2014,1,5,9,0.51,4.8,3815,18.1,12240
2014,1,5,10,0.26,6.2,3864,17.5,12240
2014,1,5,11,1.11,7,3718,18.2,12240
2014,1,5,12,2.15,7.3,3614,18.4,12240
2014,1,5,13,2.34,6.2,3402,18.3,12240
2014,1,5,14,2.35,6,3451,18.1,12240
2014,1,5,15,1.96,6.4,3413,17.9,12240
2014,1,5,16,1.53,5.6,3426,17.6,12240
2014,1,5,17,0.86,5.5,3662,17.2,12240
2014,1,5,18,0.22,5,3920,16.4,12240
2014,1,5,19,0,5.5,3936,16.2,12240
2014,1,5,20,0,6.1,3879,16.3,12240
2014,1,5,21,0,5.3,3801,16.2,12240
2014,1,5,22,0,4.6,3671,16.1,12240
2014,1,5,23,0,3.7,3523,15.9,12240
2014,1,5,24,0,3,3280,15.5,12240
2014,1,6,1,0,3.8,2990,15.4,12240
2014,1,6,2,0,3,2816,15.2,12240
2014,1,6,3,0,3.7,2722,15.9,12240
2014,1,6,4,0,2.1,2656,14.8,12240
2014,1,6,5,0,3.9,2673,16.2,12240
2014,1,6,6,0,2.2,2829,14.9,12240
2014,1,6,7,0,2,3198,15.3,12240
2014,1,6,8,0.01,2.6,3515,16.2,12240
2014,1,6,9,0.27,2.8,3834,17.3,12240
2014,1,6,10,1.45,2.7,4008,18.6,12240
2014,1,6,11,1.87,4.6,3916,19.2,12240
2014,1,6,12,2.05,3.7,3762,18.7,12240
2014,1,6,13,2.43,4.3,3515,19.5,12240
2014,1,6,14,2.47,5.3,3713,19.7,12240
2014,1,6,15,2.14,6.4,3761,19.3,12240
2014,1,6,16,1.6,5.8,3775,19.4,12240
2014,1,6,17,0.94,4.1,3904,18.8,12240
2014,1,6,18,0.23,3.2,3991,18.2,12240
2014,1,6,19,0,2.7,3973,17.9,12240
2014,1,6,20,0,0.6,3874,17.2,12240
2014,1,6,21,0,2.3,3777,17.5,12240
2014,1,6,22,0,2.1,3666,17.3,12240
2014,1,6,23,0,2.3,3554,16.9,12240
2014,1,6,24,0,2.3,3334,16.9,12240
2014,1,7,1,0,1.9,3059,16.5,12240
2014,1,7,2,0,1.5,2911,16.6,12240
2014,1,7,3,0,2.8,2827,16.8,12240
2014,1,7,4,0,1.7,2791,16.6,12240
2014,1,7,5,0,1.2,2808,15.9,12240
2014,1,7,6,0,1.1,2989,17,12240
2014,1,7,7,0,1.8,3419,16.6,12240
2014,1,7,8,0.05,1.7,3722,16.7,12240
2014,1,7,9,0.52,1.8,3996,18.3,12240
2014,1,7,10,1.18,3.7,4149,20.1,12240
2014,1,7,11,1.81,3.4,4045,21,12240
2014,1,7,12,2.25,3.7,3933,21,12240
2014,1,7,13,2.13,3.9,3638,20.9,12240
2014,1,7,14,2.31,3.8,3748,20.9,12240
2014,1,7,15,2.05,3.6,3711,21.3,12240
2014,1,7,16,1.48,4.3,3703,21.2,12240
2014,1,7,17,0.88,3.8,3958,20.9,12240
2014,1,7,18,0.26,2.5,4230,20.3,12240
2014,1,7,19,0,2.2,4251,19.8,12240
2014,1,7,20,0,2.6,4180,18.9,12240
2014,1,7,21,0,3.9,4083,19.1,12240
2014,1,7,22,0,2.6,3939,18.7,12240
2014,1,7,23,0,2.9,3797,19.2,12240
2014,1,7,24,0,2,3562,18.5,12240
2014,1,8,1,0,2.5,3276,19.1,12240
2014,1,8,2,0,1.2,3093,18.6,12240
2014,1,8,3,0,1.9,2976,19.5,12240
2014,1,8,4,0,1.6,2905,18.9,12240
2014,1,8,5,0,2.4,2923,19,12240
2014,1,8,6,0,2.4,3109,18.8,12240
2014,1,8,7,0,2.1,3597,18.9,12240
2014,1,8,8,0.06,2.8,3882,19.4,12240
2014,1,8,9,0.58,1.5,4006,20.9,12240
2014,1,8,10,1.12,2.7,4022,22.2,12240
2014,1,8,11,1.4,3.8,3883,22.5,12240
