Node,P,Q,R,X,candidate_PV,candidate_wd,candidate_CB
1,0,0,0,0,0,0,0
2,0,0,0.108,0.075,0,0,0
3,0,0,0.163,0.112,0,0,0
4,56000,47168,0.217,0.149,0,0,0
5,0,0,0.108,0.074,0,0,0
6,35280,29716,0.435,0.298,0,0,0
7,0,0,0.272,0.186,0,0,0
8,35280,29716,1.197,0.82,0,0,0
9,0,0,0.108,0.074,0,0,0
10,0,0,0.598,0.41,0,0,0
11,56000,47168,0.544,0.373,0,0,0
12,0,0,0.544,0.373,0,0,0
13,0,0,0.598,0.41,0,0,0
14,35280,29716,0.272,0.186,0,0,0
15,35280,29716,0.326,0.223,0,0,0
16,35280,29716,0.728,0.302,0,0,0
17,112000,94336,0.455,0.189,0,0,0
18,56000,47168,0.82,0.34,0,0,0
19,56000,47168,0.637,0.264,0,0,0
20,35280,29716,0.455,0.189,0,0,0
21,35280,29716,0.819,0.34,0,0,0
22,35280,29716,1.548,0.642,0,0,0
23,56000,47168,0.182,0.075,0,0,0
24,35280,29716,0.91,0.378,0,0,0
25,35280,29716,0.455,0.189,0,0,0
26,56000,47168,0.364,0.151,0,0,0
27,0,0,0.546,0.226,0,0,0
28,56000,47168,0.273,0.113,0,0,0
29,0,0,0.546,0.226,0,0,0
30,35280,29716,0.546,0.226,0,0,0
31,35280,29716,0.273,0.113,0,0,0
32,0,0,0.182,0.075,0,0,0
33,14000,11792,0.182,0.075,0,0,0
34,0,0,0.819,0.34,0,0,0
35,0,0,0.637,0.264,0,0,0
36,35280,29716,0.182,0.075,0,0,0
37,56000,47168,0.364,0.151,0,0,0
38,56000,47168,1.002,0.416,0,0,0
39,56000,47168,0.546,0.226,0,0,0
40,35280,29716,0.455,0.189,1,0,1
41,0,0,1.002,0.416,1,0,1
42,35280,29716,0.273,0.113,1,0,1
43,25380,21377,0.455,0.189,1,0,1
44,35280,29716,1.002,0.416,1,0,1
45,35280,29716,0.911,0.378,1,0,1
46,35280,29716,0.911,0.378,1,0,1
47,14000,11792,0.546,0.226,1,0,1
48,0,0,0.637,0.264,0,1,1
49,0,0,0.182,0.075,0,1,1
50,36280,30558,0.364,0.151,0,1,1
51,56000,47168,0.455,0.189,0,1,1
52,0,0,1.366,0.567,0,1,1
53,35280,29716,0.455,0.189,0,1,1
54,56000,47168,0.546,0.226,0,1,1
55,56000,47168,0.546,0.226,0,1,1
56,14000,11792,0.546,0.226,0,1,1
57,56000,47168,0.273,0.113,0,0,0
58,0,0,0.819,0.34,0,0,0
59,56000,47168,0.182,0.075,0,0,0
60,0,0,0.546,0.226,0,0,0
61,56000,47168,0.728,0.302,0,0,0
62,56000,47168,1.002,0.415,0,0,0
63,14000,11792,0.182,0.075,0,0,0
64,0,0,0.728,0.302,0,0,0
65,0,0,0.182,0.075,1,0,1
66,56000,47168,0.182,0.075,1,0,1
67,0,0,0.455,0.189,1,0,1
68,0,0,0.91,0.378,1,0,1
69,56000,47168,1.092,0.453,1,0,1
70,0,0,0.455,0.189,1,0,1
71,35280,29716,0.546,0.226,1,0,1
72,56000,47168,0.182,0.075,1,0,1
73,0,0,1.184,0.491,1,0,1
74,56000,47168,0.273,0.113,1,0,1
75,35280,29716,1.002,0.416,1,0,1
76,56000,47168,0.546,0.226,1,0,1
77,14000,11792,0.091,0.037,1,0,1
78,56000,47168,0.637,0.264,1,0,1
79,35280,29716,0.546,0.226,1,0,1
80,56000,47168,0.728,0.302,0,1,1
81,0,0,0.364,0.151,0,1,1
82,56000,47168,0.091,0.037,0,1,1
83,35280,29716,1.092,0.453,0,1,1
84,14000,11792,1.002,0.416,0,1,1
85,35280,29716,0.819,0.34,0,1,1
